type,sourceId,transferId,source,target,amount,description,targetBank,merchantId,sourceChannel,sourceIdt,createDate,comentario
"""COLLECTIONCOLLECTIONOLLECTIONCOLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",100,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo type al exceder la longitud maxima
"""PRUEBA""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",100,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo type al enviar un valor diferente a COLLECTION y DISPERSION
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded40823""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",100,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo sourceId al exceder la longitud maxima (36 caracteres)
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001$573003004001$573003004001$57300300400""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",100,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo source al exceder la longitud maxima
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfVwcc7vHUcnYpJcba8e""",100,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo target al exceder la longitud maxima
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",-76,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo amount al enviarlo con valores negativos
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",0,"""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo amount al enviarlo con valor igual a 0
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""","""4err""","""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo amount al enviarlo con valores alfabeticos
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""","""$%66""","""Transferencia pago de compra.""","""AG1525AXCS""","""AG1525AXCS""","""POS""","""d0508e8b-3065-467f-990c-dc1b2aea8944""",null,Validar campo amount al enviarlo con caracteres especiales
"""COLLECTION""","""65c242c3-1ea6-45c4-a71f-a41538ded408""","""{{$randomUUID}}""","""$573003004001""","""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfV""",100,"""wcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfVwcc7vHUcnYpJcba8ewcc7vHUcnYpJcba8eiqEmmARtR3cS1PGfVwcc7vHUcnYpJcba8""",null,null,null,null,null,Validar campo description al exceder la longitud maxima
